NH5121,"Filosofia da Mente A-diurno (São Bernardo do 
Campo)","quarta das 14:00 às 18:00, sala A1-S204-SB, 
semanal",0,RENATO RODRIGUES KINOUCHI
NH5121,"Filosofia da Mente A-Noturno (São Bernardo do
Campo)","terca das 19:00 às 23:00, sala A1-S102-SB, 
semanal",0,MARIA CECILIA LEONEL GOMES DOS REIS
BH1221,"Filosofia do Ensino de Filosofia A-diurno (São 
Bernardo do Campo)","terca das 08:00 às 12:00, sala A1-S102-SB, 
semanal",0,PATRICIA DEL NERO VELASCO
BH1221,"Filosofia do Ensino de Filosofia A-Noturno (São 
Bernardo do Campo)","quinta das 19:00 às 23:00, sala A1-S102-SB, 
semanal",0,PATRICIA DEL NERO VELASCO
BH1216,"Filosofia no Brasil e na América Latina A-diurno 
(São Bernardo do Campo)","quarta das 08:00 às 12:00, sala A1-S101-SB, 
semanal",0,PAULA PRISCILA BRAGA
BH1216,"Filosofia no Brasil e na América Latina A-
Noturno (São Bernardo do Campo)","segunda das 19:00 às 23:00, sala A1-S101-SB, 
semanal",0,PAULA PRISCILA BRAGA
BH1208,"Filosofia Política: perspectivas contemporâneas 
A-diurno (São Bernardo do Campo)","terca das 08:00 às 12:00, sala A1-S103-SB, 
semanal",0,Aléxia Cruz Bretas
BH1138,"Finanças Corporativas A-diurno (São Bernardo 
do Campo)","quarta das 08:00 às 12:00, sala A2-S203-SB, 
semanal",0,EVANDIR MEGLIORINI
BH1138,"Finanças Corporativas A-Noturno (São 
Bernardo do Campo)","quarta das 19:00 às 23:00, sala A2-S106-SB, 
semanal",0,EVANDIR MEGLIORINI
CS3205,"Finanças I (Apreçamento de Ativos) A-diurno 
(São Bernardo do Campo)","segunda das 08:00 às 10:00, sala A2-S203-SB, 
semanal , terca das 10:00 às 12:00, sala A2-S203-
SB, semanal",0,RICARDO BUSCARIOLLI PEREIRA
CS3205,"Finanças I (Apreçamento de Ativos) A-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A1-S201-SB, 
semanal , terca das 21:00 às 23:00, sala A1-S201-
SB, semanal",0,RICARDO BUSCARIOLLI PEREIRA
CS4113,"Formação das Políticas Educacionais no Brasil A
diurno (São Bernardo do Campo)","terca das 14:00 às 18:00, sala A2-S304-SB, 
semanal",0,SALOMÃO BARROS XIMENES
CS4112,"Formação das Políticas Educacionais no Brasil A
Noturno (São Bernardo do Campo)","quarta das 19:00 às 23:00, sala A2-S304-SB, 
semanal",0,SALOMÃO BARROS XIMENES
BH1332,"Formação Histórica da América Latina A-diurno 
(São Bernardo do Campo)","segunda das 08:00 às 10:00, sala A2-S204-SB, 
semanal , quarta das 10:00 às 12:00, sala A2-
S204-SB, semanal",0,MURYATAN SANTANA BARBOSA
BH1332,"Formação Histórica da América Latina A-
Noturno (São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A2-S308-SB, 
semanal , quarta das 21:00 às 23:00, sala A2-
S308-SB, semanal",0,ELIAS DAVID MORALES MARTINEZ
